"","interaction","CrithidiaIncidence","NosemaIncidence","ApicystisIncidence","Fis","Pi","FaithAlphaDiversity","CrithidiaCount","NosemaCount","ApicystisCount","Species","CollectionSite"
"1","B.hortorum_Caistor",0.944444444444444,0.277777777777778,0,0.18908,0.05803,7.26097045255185,104705.882343529,34666.6666734,0,"B.hortorum","Caistor"
"2","B.hortorum_Hillesden",0.523809523809524,0.380952380952381,0,0.07401,0.04558,4.5577991430999,76666.6666648182,17916.66666575,0,"B.hortorum","Hillesden"
"3","B.hortorum_Ouse",0.944444444444444,0.388888888888889,0.0555555555555556,0.09753,0.06251,6.11408658219827,62549.01961,19523.8095234286,233333.3333,"B.hortorum","Ouse"
"4","B.hortorum_Upton",0.777777777777778,0.277777777777778,0.0555555555555556,0.02425,0.03352,6.00744613559242,85238.0952378571,29333.3333328,16666.66667,"B.hortorum","Upton"
"5","B.ruderatus_Hillesden",0.65,0.3,0.1,0.08078,0.04867,7.6139554112353,92564.10257,23333.3333316667,15000.0000015,"B.ruderatus","Hillesden"
"6","B.ruderatus_Ouse",0.769230769230769,0.384615384615385,0.102564102564103,0.02502,0.02999,7.27237418655935,88777.7777749,11999.9999998,62500.00000825,"B.ruderatus","Ouse"
"7","B.ruderatus_Upton",0.857142857142857,0.428571428571429,0,0.06511,0.04447,6.31057299212523,118333.333332833,42222.22222,0,"B.ruderatus","Upton"
"8","B.terrestris_Caistor",0.538461538461538,0.384615384615385,0,0.01636,0.02727,4.54224888699973,40000,13999.9999992,0,"B.terrestris","Caistor"
"9","B.terrestris_Hillesden",0.714285714285714,0.214285714285714,0.0714285714285714,0.19661,0.06154,4.84651204870875,87666.6666703,8888.88888766667,1200000,"B.terrestris","Hillesden"
"10","B.terrestris_Ouse",0.777777777777778,0.333333333333333,0.0555555555555556,0.02356,0.02948,4.58967903336528,85952.3809573571,17777.7777761667,76666.66667,"B.terrestris","Ouse"
"11","B.terrestris_Upton",0.7,0,0,0.01204,0.02654,4.74638166938824,97142.8571428571,0,0,"B.terrestris","Upton"
